Type,StatusReason,City,Zip,state,Latitude,Longitude
INDIVIDUAL,CURRENT,RIDGEFIELD,06877,CT,41.269688,-73.492611
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,06110,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,STAMFORD,06903,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAFFORD SPRINGS,060764005,CT,41.967856,-72.306381
INDIVIDUAL,CURRENT,TORRINGTON,067903493,CT,41.8342,-73.13147
INDIVIDUAL,CURRENT,ORANGE,064771114,CT,41.284951,-73.024637
INDIVIDUAL,CURRENT,BRIDGEPORT,06610,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,HARTFORD,061063322,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,GREENWICH,06830,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,HARTFORD,061063309,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NEW HAVEN,06510,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,GREENWICH,068312617,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,HARTFORD,061065526,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WEST HAVEN,06516,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,NIANTIC,06357,CT,41.316749,-72.199878
INDIVIDUAL,CURRENT,WEST HARTFORD,06117,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,WATERBURY,06706,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,STAMFORD,069055360,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,HARTFORD,06105,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,COS COB,068072226,CT,41.048595,-73.591901
INDIVIDUAL,CURRENT,NEW HAVEN,065112549,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NORTH HAVEN,06473,CT,41.381465,-72.856371
INDIVIDUAL,CURRENT,NEW HAVEN,065048901,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,STAMFORD,069052902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,069023602,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,WATERBURY,067021911,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,ORANGE,064773559,CT,41.284951,-73.024637
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,PUTNAM,06260,CT,41.916752,-71.910703
INDIVIDUAL,CURRENT,HARTFORD,061023101,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NORWALK,06856,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,MOOSUP,06354,CT,41.716992,-71.875223
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NORWICH,063607101,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,STAMFORD,069020001,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NORTH HAVEN,064734444,CT,41.381465,-72.856371
INDIVIDUAL,CURRENT,NEW HAVEN,065208017,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WESTON,06883,CT,41.203236,-73.378781
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,SHELTON,064844749,CT,41.304577,-73.139215
INDIVIDUAL,CURRENT,OLD GREENWICH,06870,CT,41.020119,-73.567675
INDIVIDUAL,LICENSE RESTRICTED,NEW HAVEN,065114403,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,061191511,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,NORTH HAVEN,064732356,CT,41.381465,-72.856371
INDIVIDUAL,CURRENT,WATERBURY,06708,CT,41.5585,-73.036685
